nothing,no verb,being
Armor,abadurä,armoring
Gold,aüro,Adding gold to
Soldier,bëdès,Being or acting like a soldier
Adventurer,bëdèsoe,Adventuring
Necklace,boëdea,Putting a necklace on
Gold old name,buburkrörtrakror, 
Grease/fat/slippery,där,Greasing
Relaxing,däs,Relaxing
Full ,dasdöter,Filling
Sit,däsgegobukre,Sitting
Sleep,däsgobubor,Sleeping
Rest,dasoregodarkör,Lying down
Body ,dasoregotrë,Giving a body to
Corpse,dasosegotrëregobu,Making into a corpse
Feather ,degadarköpago,Using a feather on or tickling
Metal,degaerköpo,Adding metal to
Leaf ,degaktöpago,Adding leafs to
Bit/part/that/small,dëka,Being or making small
Declaration,dëkabogu,Saying
Powder ,dekaëka,Turning into a powder or adding powder to
Fragile,dëkagobugubu,Making fragile or treating as if
Broken/Few,dëkaobu,Breaking/Reducing
Bricks,dëkaok,Adding brick to
What?/Something/thing,dëkaos,Doing what or doing something
Home,dök,Making into a home 
Coward,erdë,Being cautious
Pain,erdëkaobu,Hurting
Venom,erdëkaobugeror,Envenoming
Poison,erdëkaobugesoredar,Poisonning
Sick,erdëkaopududuk,Being sick
Past / old,erkö,Past of being
Close past (last time),erkökedogubu,Having recently been
Egg/round ,erköopur,Making round
Mountain ,erköpa,Being in a mountain
Problem,erköpagedogur,Cause issues for
End/Rock/Stone,erköpo,Ending/Standing/Throwing rocks at
Malachite,erköpoburebago,Adding malachite
Vegetable ,erköpogesodar,Planting vegetables
Iron (material),erköporegedo,Adding iron to
Tooth ,erköposugedar,An expression for biting gently
Wind ,erkör,Blowing air
Tongue ,erkötaresogedar,Touching with your tongue
Happy,kadä,Enjoying
Love any,kadätodu,Loving
Love friendly,kadätogubu,Loving
Love romantic,kadätosud,Loving
Plains,kebogedoktö,Putting in plains
Earth / Dirt,keboktö,Adding earth to or borrowing
Mud,keboktösdop,Adding mud to
Abricot,kedoarkrör,Eating abricots
Swamp,kedogeboktösdop,Putting in a swamp
Warm ,kedogubukröt,Warming
Finger ,këegopra,Touching with your finger
Root ,kegobugeboktö,Taking roots in 
Neck ,kegobugodarkör,Putting your neck on
Torch ,kegobukröt,Either burning or lighting with a torch
Nose ,kegoburë,Touching with your nose or an expression for smelling
Skull ,kegoburkör,Putting skulls on
Rabbit ,kegobusäpago,Acting like a rabbit
Use,kegoprä,Using 
Snake ,kegopsë,Acting like a snake
Leg ,kegopukör,Kicking
